animeTitle	Pururun! Shizuku-chan
animeType	TV
animeNumEpisode	51
releaseDate	2006-10-07 00:00:00
endDate	2007-09-29 00:00:00
animeNumMembers	337
animeScore	
animeUsers	
animeRank	12868
animePopularity	14115
animeDescription	"The series revolves around a playful young child named Shizuku-Chan. He, alongside his schoolmates, friends, and family lives a life of dangerous adventures in the Shizuku Forest.

(Source: Wikipedia)"
animeRelated	['Pururun! Shizuku-chan Aha']
animeCharacters	['Namida-kimi', 'Uruoi-chan', 'Mirumiru-chan', 'Koron-kun', 'Aseo-kun', 'Shizuku-chan']
animeVoices	['Ishii, Makoto', 'Yuzuki, Ryouka', 'Narita, Sayaka', 'Yasumura, Makoto', 'Kawazu, Yasuhiko', 'Itou, Miyako']
animeStaff	[['Sister MAYO', 'Theme Song Performance'], ['Masuda, Toshihiko', 'Animation Director, Character Design'], ['Kameyama, Koichiro', 'Music']]
