animeTitle	b'Oyayubi Hime Monogatari'
animeType	b'TV'
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	6.67
animeUsers	436
animeRank	
animePopularity	
animeDescription	"b""A bratty girl named Mia is given a book, Thumbelina, which upon reading she is shrunk and transported into the world of the book. She embarks on a journey to return home, and to normal size making friends and learning lessons on the way, but that's only the beginning of her adventures.\n\n(Source: ANN)"""
animeRelated	[]
animeCharacters	[b'Mia']
animeVoices	[b'\nKanai, Mika\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nAsada, Yuuji\n\nEpisode Director\n\n', b'\nYanagawa, Shigeru\n\nScript\n\n', b'\nOkuda, Seiji\n\nStoryboard\n\n', b'\nKubota, Mitsutoshi\n\nSpecial Effects\n\n']
