animeTitle	Hatenkou Yuugi
animeType	TV
animeNumEpisode	10
releaseDate	2008-01-05 00:00:00
endDate	2008-03-08 00:00:00
animeNumMembers	35088
animeScore	7.13
animeUsers	14658
animeRank	3229
animePopularity	3024
animeDescription	"""See the world""

With these words, Rahzel, the daughter of a rich family, is kicked out of her house and sent on her journey. Along the way she meets up with Heat and Alzeid, two men with very different personalities but very similar journeys. Rahzel is a clever, stubborn, and confident girl, who, with the powers of her magic and mind helps the people she runs into on her journey to discover the world. "
animeRelated	['Hatenkou Yuugi']
animeCharacters	['Anadis, Rahzel', 'Alzeid', 'Anadis, Baroqueheat', 'Anadis, Kiara', 'Grandfather', 'Bryah, Jelice', 'Branowen', 'Anadis, Serateed', 'Soresta']
animeVoices	['Kobayashi, Sanae', 'Sakurai, Takahiro', 'Miki, Shinichiro', 'Shimono, Hiro', 'Arimoto, Kinryuu', 'Koyasu, Takehito', 'Taniyama, Kishou']
animeStaff	[['Takamoto, Norihiro', 'Director'], ['Iwanami, Yoshikazu', 'Sound Director'], ['Tsuchiya, Hiroyuki', 'Episode Director'], ['Ogura, Hirofumi', 'Episode Director']]
