animeTitle	Lupin III: Fuuma Ichizoku no Inbou
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.27
animeUsers	4217
animeRank	
animePopularity	5520
animeDescription	"Goemon's wedding to Murasaki Inabe, daughter of a samurai clan's leader, is interrupted when the Fuma ninjas attack, kidnapping the bride-to-be and demanding her family's ancient treasure as ransom. Lupin, Jigen, Goemon and Fujiko work together once again to try to save Murasaki and get to the treasure before the Fuma can steal it. 

(Source: ANN)"
animeRelated	['Lupin III']
animeCharacters	['Lupin III, Arsene', 'Jigen, Daisuke', 'Mine, Fujiko', 'Ishikawa XIII, Goemon', 'Murasaki', 'Zenigata, Kouichi']
animeVoices	['Furukawa, Toshio', 'Ginga, Banjou', 'Koyama, Mami', 'Shiozawa, Kaneto', 'Shou, Mayumi', 'Katou, Seizou']
animeStaff	[['Urakami, Yasuo', 'Sound Director'], ['Ozeki, Masayuki', 'Episode Director'], ['Ooseki, Masayuki', 'Episode Director'], ['Monkey Punch', 'Original Creator']]
