animeTitle	Shinshou Genmukan
animeType	OVA
animeNumEpisode	4
releaseDate	2010-03-20 00:00:00
endDate	2010-09-20 00:00:00
animeNumMembers	4042
animeScore	6.42
animeUsers	1172
animeRank	
animePopularity	7604
animeDescription	"Kido is a private detective. One day, he receives a job offer. It is just to guard his client. He once tries to refuse it, but Mei, Kido's partner, tells him to accept it. Kido reluctantly accepts the offer and visits the client's house. There lives Ayano, a daughter of the client, Shibata, a butler, Imada, a janitor, Nozomi, a live-in maid, and Kaoru, Ayano's home tutor. Kido asks Shibata what's his job, but he just gives a vague answer. He doesn't know what to do, but he gradually gets to know the secret of the family....

(Source: ErogeShop)"
animeRelated	['Genmukan']
animeCharacters	['Watase, Nozomi', 'Kido, Satoru', 'Tanimura, Kaoru', 'Imada, Kazuyoshi', 'Nakakouji, Ayano', 'Nakayama, Mei']
animeVoices	['Yamakawa, Kotomi', 'Ookawa, Tooru', 'Fujiwara, Mioko', 'Kobayashi, Maki']
animeStaff	[['Taka, Tony', 'Original Character Design'], ['Ogawara, Haruo', 'Character Design']]
