animeTitle	Buppu na Mainichi
animeType	TV
animeNumEpisode	27
releaseDate	2017-03-11 00:00:00
endDate	2017-09-09 00:00:00
animeNumMembers	342
animeScore	
animeUsers	
animeRank	15085
animePopularity	14078
animeDescription	"The story will focus on a cat who begins living with 10 dogs, and the animals' busy everyday life. The story draws inspiration from real-life singer Noriyuki Makihara and his pets. 

(Source: ANN)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
