animeTitle	b'Asobo Toy-chan'
animeType	b'TV'
animeNumEpisode	53
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'No synopsis information has been added to this title. Help improve our database by adding a synopsis here.'
animeRelated	[]
animeCharacters	[b'Toy-chan']
animeVoices	[b'\nYoshida, Konami\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nTsukioka, Sadao\n\nDirector, Theme Song Lyrics, Animation Director\n\n', b'\nMatsuura, Noriyoshi\n\nSound Director\n\n', b'\nHorie, Mitsuko\n\nTheme Song Performance\n\n', b'\nIke, Takeshi\n\nMusic\n\n']
