animeTitle	Itsuka Aeru Kimi ni
animeType	ONA
animeNumEpisode	1
releaseDate	2018-10-06 00:00:00
endDate	
animeNumMembers	
animeScore	5.7
animeUsers	912
animeRank	
animePopularity	9747
animeDescription	"A tourism promotion anime for Ogaki City in the Gifu Prefecture. The story's script was written by Kou Nakamura, a famous novelist from Ogaki City.

An is confessed to by her childhood friend Yuuki. She runs away from the shock and finds herself time-slipped into the future. With modern tech and flying personal robots, she's shown around by a helpful ikemen named Kibou and his robot rabbit butler. Kibou tells her that she's his grandmother and that Yuuki is his grandfather, and that she doesn't need to be so unsure of her future."
animeRelated	['Oam Monogatari: Sono Natsu, Watashi ga Shitta koto', 'Ogaki Matsuri ni Ikou yo!']
animeCharacters	['Yuuki', 'An']
animeVoices	['Horie, Shun', 'Mimori, Suzuko']
animeStaff	[]
