animeTitle	b'Utawarerumono Recaps'
animeType	b'Special'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.42
animeUsers	1106
animeRank	
animePopularity	
animeDescription	b'DVD recap episodes. The recaps are included in Utawarerumono DVD Volumes 4 and 5.'
animeRelated	[b'Utawarerumono']
animeCharacters	[b'Eruruu', b'Hakuoro', b'Karura', b'Touka', b'Aruruu', b'Benawi', b'Oboro', b'Kamyu', b'Mukkuru', b'Yuzuha']
animeVoices	[b'\nKoyama, Rikiya\nJapanese\n', b'\nMiyake, Kaya\nJapanese\n', b'\nShimoyama, Yoshimitsu\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nIwasa, Gaku\n\nProducer\n\n', b'\nChung, Jin Ho\n\nProducer\n\n', b'\nAketagawa, Susumu\n\nSound Director\n\n', b'\nUezu, Makoto\n\nScript\n\n']
