animeTitle	Asobuild Concept Video
animeType	ONA
animeNumEpisode	1
releaseDate	2019-03-05 00:00:00
endDate	
animeNumMembers	296
animeScore	5.27
animeUsers	144
animeRank	10965
animePopularity	14616
animeDescription	"Web commercial to promote the grand opening of the entertainment and recreational facility ""ASOBUILD."" The building is made up of six floors, each with their own theme and unique attractions."
animeRelated	['Qiezi Mabo Forever']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
