animeTitle	Toriko Movie: Bishokushin no Special Menu
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.12
animeUsers	2537
animeRank	
animePopularity	6480
animeDescription	The new Toriko movie, planned for Summer 2013.
animeRelated	['Toriko']
animeCharacters	['Toriko', 'Zebra', 'Coco', 'Komatsu', 'Sunny', 'Jirou', 'Ichiryuu', 'Terry Cloth', 'Starjun', 'Teppei']
animeVoices	['Okiayu, Ryoutarou', 'Matsuda, Kenji', 'Sakurai, Takahiro', 'Park, Romi', 'Iwata, Mitsuo', 'Morikawa, Toshiyuki', 'Horiuchi, Kenyuu', 'Miki, Shinichiro', 'Onosaka, Masaya']
animeStaff	[['Zako, Akifumi', 'Director'], ['Murayama, Isao', 'Script'], ['F.T. Island', 'Theme Song Performance'], ['Shimabukuro, Mitsutoshi', 'Original Creator']]
