animeTitle	b'Kimagure Orange\xe2\x98\x86Road OVA'
animeType	b'OVA'
animeNumEpisode	8
releaseDate	
endDate	
animeNumMembers	
animeScore	7.42
animeUsers	2997
animeRank	
animePopularity	
animeDescription	"b'Kimagure Orange Road OVA is basically the extension from the TV series. The time frame is probably in the middle of the TV series.\n\nOrder to view with the TV series.\nWhite Lovers - among the episodes 35 and 45\nHawai Suspence - among the episodes 17 and 25\nI was a cat, I was a fish - among the episodes 17 and 30\nHurricane Akane, the shape-shifting girl - among the episodes 20 and 25\nSpring is for Idols - among the episodes 23 and 30\nBirth of a Star - Right after ""Spring is for Idols""\nUnexpected Situation - after the OAV of Akane\nMessage in Rouge - after the episode 48 '"
animeRelated	[b'Kimagure Orange\xe2\x98\x86Road']
animeCharacters	[b'Ayukawa, Madoka', b'Kasuga, Kyousuke', b'Hiyama, Hikaru', b'Kasuga, Kurumi', b'Kasuga, Manami', b'Kasuga, Akane']
animeVoices	[b'\nTsuru, Hiromi\nJapanese\n', b'\nFuruya, Toru\nJapanese\n', b'\nHara, Eriko\nJapanese\n', b'\nHonda, Chieko\nJapanese\n', b'\nTomizawa, Michie\nJapanese\n', b'\nMatsui, Naoko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYoshinaga, Naoyuki\n\nDirector\n\n', b'\nMatsuura, Noriyoshi\n\nSound Director\n\n', b'\nMori, Takeshi\n\nEpisode Director\n\n', b'\nTerada, Kenji\n\nScript, Series Composition\n\n']
