animeTitle	Shigofumi Picture Drama
animeType	Special
animeNumEpisode	7
releaseDate	2008-03-25 00:00:00
endDate	2008-09-26 00:00:00
animeNumMembers	3931
animeScore	6.49
animeUsers	1277
animeRank	6172
animePopularity	7684
animeDescription	Side stories released exclusively on DVD.
animeRelated	['Shigofumi']
animeCharacters	['Fumika', 'Kanaka', 'Chiaki', 'Mikawa, Kirameki', 'Matoma', 'Nojima, Kaname', 'Kasai, Natsuka']
animeVoices	['Ueda, Kana', 'Matsuoka, Yuki', 'Asano, Masumi', 'Katou, Masayuki', 'Terashima, Takuma', 'Chiba, Saeko']
animeStaff	[]
