animeTitle	Yaoguai Mingdan 2nd Season
animeType	ONA
animeNumEpisode	21
releaseDate	2017-08-03 00:00:00
endDate	2017-12-28 00:00:00
animeNumMembers	7846
animeScore	7.56
animeUsers	1932
animeRank	1452
animePopularity	5855
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Yaoguai Mingdan']
animeCharacters	['Su, Jiuer', 'Xi, Feng', 'Guo, Shuang', 'Yuan, Long San']
animeVoices	[]
animeStaff	[]
