animeTitle	Youkai Watch ♪
animeType	TV
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	
animeScore	6.24
animeUsers	296
animeRank	
animePopularity	10556
animeDescription	"The new show will feature unique and returning Yo-kai. The comedy will also center on the original series' main characters: fifth-grader Keita (Nate in the English version), ghost butler Whisper, and popular Yo-kai like Jibanyan and Komasan. The original cast members for these four characters are returning for this new series.

(Source: ANN)"
animeRelated	['Youkai Watch!']
animeCharacters	['Jibanyan', 'Komasan', 'Whisper', 'Amano, Keita', 'Imada, Kanchi', 'Kodama, Fumika', 'Jimenken', 'Kumashima, Gorouta']
animeVoices	[]
animeStaff	[['Endou, Aya', 'Theme Song Performance'], ['Kozakura, Etsuko', 'Theme Song Lyrics'], ['Yoshiki, Risa', 'Theme Song Performance'], ['King Cream Soda.', 'Theme Song Performance']]
