animeTitle	b'Oni Chichi: Rebuild'
animeType	b'OVA'
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	7.17
animeUsers	10923
animeRank	
animePopularity	
animeDescription	"b""At long last, Kayoko Akizuki, the mother of Airi and Marina, has returned home to her husband, Kouzou. Having realized her daughters have spent too long with only one parent, she is determined to mend the family relations. However, little does she know that Kouzou has had a sexual affair with his two stepdaughters for quite some time now.\n\nAs time goes by, Kayoko grows increasingly more inquisitive and seems to be finally becoming aware of the situation. Kouzou becomes desperate and aggressive in his courting, taking his stepdaughters in their sleep or in public spaces. Moreover, a new challenger for his attention arrives\xe2\x80\x94further jeopardizing Airi's relationship with her stepfather.\n\n[Written by MAL Rewrite]"""
animeRelated	[b'Oni Chichi', b'Oni Chichi: Re-born', b'Oni Chichi: Refresh\xe2\x99\xa5']
animeCharacters	[b'Akizuki, Airi', b'Akizuki, Marina', b'Akizuki, Kouzou', b'Mikami, Yuka ', b'Kuranaka, Sana', b'Akizuki, Kayoko']
animeVoices	[b'\nIgarashi, Hiromi\nJapanese\n', b'\nMizusawa, Kei\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nBlue Gale\n\nOriginal Creator\n\n', b'\nKinohara, Hikaru\n\nCharacter Design\n\n']
