animeTitle	Yatogame-chan Kansatsu Nikki
animeType	TV
animeNumEpisode	12
releaseDate	2019-04-04 00:00:00
endDate	2019-06-20 00:00:00
animeNumMembers	26053
animeScore	6.23
animeUsers	10816
animeRank	7536
animePopularity	3541
animeDescription	"After growing up in Tokyo, high school student Jin Kaito moves to Nagoya where he meets Yatogame Monaka, a fellow student who puts her Nagoya dialect on full display. With her cat-like appearance and unvarnished Nagoya dialect, Yatogame won't open up to him at all. This popular local comedy is increasing the status of Nagoya through observation of the adorable Yatogame-chan! 

(Source: Crunchyroll)"
animeRelated	['Yatogame-chan Kansatsu Nikki', 'Yatogame-chan Kansatsu Nikki Nisatsume']
animeCharacters	['Yatogame, Monaka', 'Sasatsu, Yanna', 'Jin, Kaito', 'Tadakusa, Mai', 'Jin, Hanka']
animeVoices	['Tomatsu, Haruka', 'Komatsu, Mikako', 'Ichiki, Mitsuhiro', 'Wakai, Yuuki', 'Toujou, Hisako']
animeStaff	[['Hirasawa, Hisayoshi', 'Director'], ['WORDS in STEREO', 'Script, Series Composition'], ['Tomatsu, Haruka', 'Theme Song Performance'], ['Hayasaka, Satsuki', 'Chief Animation Director, Character Design']]
