animeTitle	b'Otogi Juushi Akazukin'
animeType	b'TV'
animeNumEpisode	39
releaseDate	
endDate	
animeNumMembers	
animeScore	6.95
animeUsers	1327
animeRank	
animePopularity	
animeDescription	"b'Long, long ago, there existed a world of magic and science. God, afraid of man\'s potential, split the world in to the world of science, Elde, and the world of magic, Fandavale. One day in Fandavale, a terrible witch named Cendrillon (Cinderella) revives. Cendrillon plots to rule both worlds, and searches for the ""key"" which holds tremendous power.\n\nA young boy from Elde by the name of S\xc5\x8dta meets a mysterious girl from Fandavale, Akazukin, and her talking wolf companion, Val. S\xc5\x8dta learns that he is the key Cendrillon is searching for. Now it is up to Akazukin, Val, and the other Fairy Musketeers to protect S\xc5\x8dta from Cendrillon and her Nightmarelians who wish to obtain the power he mysteriously possesses.'"
animeRelated	[b'Otogi Juushi Akazukin', b'Otogi Juushi Akazukin OVA']
animeCharacters	[b'Akazukin', b'Ibara-hime', b'Kinoshita, Ringo', b'Suzukaze, Souta', b'Val', b'Shirayuki-hime', b'Hansel', b'Gretel', b'Cendrillon', b'Trude']
animeVoices	[b'\nTamura, Yukari\nJapanese\n', b'\nSawashiro, Miyuki\nJapanese\n', b'\nKugimiya, Rie\nJapanese\n', b'\nSanpei, Yuuko\nJapanese\n', b'\nHiyama, Nobuyuki\nJapanese\n', b'\nTateno, Kanako\nJapanese\n', b'\nShimizu, Kaori\nJapanese\n', b'\nYahagi, Sayuri\nJapanese\n', b'\nWatanabe, Misa\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMatsuo, Ryouichirou\n\nProducer\n\n', b'\nYamakawa, Norio\n\nProducer\n\n', b'\nIshiyama, Takaaki\n\nDirector, Storyboard\n\n', b'\nTamura, Koutarou\n\nEpisode Director\n\n']
