animeTitle	b'Manga Naruhodo Monogatari OVA'
animeType	b'OVA'
animeNumEpisode	5
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'Compilation OVA of Manga Naruhodo Monogatari series.'
animeRelated	[b'Manga Naruhodo Monogatari']
animeCharacters	[b'Hitler, Adolf', b'Perry, Matthew Calbraith', b'Wells, Herbert George', b'Rhine, Joseph Banks', b'Nero', b'Pythagoras', b'Theseus', b'William III', b'Columbus, Christopher ', b'Armstrong, Neil']
animeVoices	[]
animeStaff	[]
