animeTitle	Tsuruhime Ja!
animeType	TV
animeNumEpisode	49
releaseDate	1990-01-09 00:00:00
endDate	1990-12-25 00:00:00
animeNumMembers	452
animeScore	
animeUsers	
animeRank	13966
animePopularity	13214
animeDescription	"No synopsis has been added for this series yet.

Click here to update this information."
animeRelated	[]
animeCharacters	['Tsuruhime', 'Kaminari Kozou', 'Otentou-sama', 'Ine', 'Tarou', 'Matagorou', 'Karou', 'Tono', 'Dorohachi', 'Kamehime']
animeVoices	['Sakamoto, Chika', 'Hayashibara, Megumi', 'Hoshino, Mitsuaki', 'Aoki, Kazuyo', 'Shinohara, Akemi', 'Kikuchi, Masami', 'Ogata, Kenichi', 'Yamada, Keaton', 'Tomiyama, Kei', 'Emori, Hiroko']
animeStaff	[['Egami, Kiyoshi', 'Episode Director, Storyboard'], ['Mutou, Yuuji', 'Episode Director'], ['Watanabe, Shinichiro', 'Storyboard'], ['Taniguchi, Moriyasu', 'Animation Director']]
