animeTitle	Gabriel DropOut
animeType	TV
animeNumEpisode	12
releaseDate	2017-01-09 00:00:00
endDate	2017-03-27 00:00:00
animeNumMembers	389831
animeScore	7.47
animeUsers	196106
animeRank	1726
animePopularity	426
animeDescription	"For centuries, Heaven has required its young angels to live and study among humans in order to become full-fledged angels. This is no different for top-of-her-class Gabriel White Tenma, who believes it is her mission to be a great angel who will bring happiness to mankind. However, Gabriel grows addicted to video games on Earth and eventually becomes a hikikomori. Proclaiming herself a ""Fallen Angel,"" she is apathetic to everything else—much to the annoyance of Vignette April Tsukinose, a demon whom Gabriel befriended in her angelic early days on Earth.

Vignette's attempts to revert Gabriel back to her previous self are in vain, as Gabriel shoots down any attempt to change her precious lifestyle. As they spend their time on Earth, they meet two eccentric personalities: the angel Raphiel Ainsworth Shiraha, Gabriel's classmate with a penchant for sadism, and the demon Satanichia McDowell Kurumizawa, a clumsy self-proclaimed future ruler of the Underworld.

Gabriel DropOut follows these four friends' comedic lives as they utterly fail to understand what it truly means to be a demon or an angel.

[Written by MAL Rewrite]"
animeRelated	['Gabriel DropOut', 'Gabriel DropOut Specials']
animeCharacters	['Kurumizawa McDowell, Satanichia', 'Tenma White, Gabriel', 'Tsukinose April, Vignette', 'Shiraha Ainsworth, Raphiel', 'Sugarbell Chisaki, Tapris', 'Master', 'Machiko', 'Tenma White, Zeruel', 'Tanaka', 'Tenma White, Haniel']
animeVoices	['Oozora, Naomi', 'Tomita, Miyu', 'Oonishi, Saori', 'Hanazawa, Kana', 'Minase, Inori', 'Umezu, Hideyuki', 'Fuchigami, Mai', 'Sawashiro, Miyuki', 'Izawa, Mikako', 'Morohoshi, Sumire']
animeStaff	[['Oota, Masahiko', 'Director, Storyboard'], ['Ebina, Yasunori', 'Sound Director'], ['Haraguchi, Hiroshi', 'Episode Director, Storyboard'], ['Aoshima, Takashi', 'Script, Series Composition']]
