animeTitle	Hyouge Mono
animeType	TV
animeNumEpisode	39
releaseDate	2011-04-07 00:00:00
endDate	2012-01-26 00:00:00
animeNumMembers	23938
animeScore	7.99
animeUsers	3013
animeRank	571
animePopularity	3688
animeDescription	"The story is set during Japan's Sengoku Jidai (Era of the Warring States) and centers on Furuta Sasuke, a vassal of the great warlord Oda Nobunaga and a man obsessed with tea ceremony and material desires in his pursuit of a fortuitous life. Having learned from Oda and the legendary tea master Sen no Soueki, Furuta walks the way of the Hyouge Mono.

(Source: ANN)"
animeRelated	['Hyouge Mono']
animeCharacters	['Furuta, Sasuke', 'Senno, Soueki', 'Oda, Nobunaga', 'Tokugawa, Ieyasu', 'Hashiba, Hideyoshi', 'Date, Masamune', 'Hechikan', 'Akechi, Mitsuhide', 'Hachisuka, Masakatsu', 'Yasuke']
animeVoices	['Ohkura, Kouji', 'Tanaka, Nobuo', 'Koyama, Rikiya', 'Tsurumi, Shingo', 'Ebara, Masashi', 'Nakai, Kazuya', 'Ishida, Tarou', 'Tanaka, Hideyuki', 'Tajiri, Hiroaki', 'Kuroda, Takaya']
animeStaff	[['Mashimo, Kouichi', 'Director, Episode Director, Storyboard'], ['Nakano, Tooru', 'Sound Director'], ['Kawatsura, Shinya', 'Episode Director, Storyboard'], ['Kurokawa, Tomoyuki', 'Episode Director, Storyboard']]
