animeTitle	KU-RU-KU-RU Cruller!
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.28
animeUsers	241
animeRank	
animePopularity	13320
animeDescription	"Animation PV released with the ""KU-RU-KU-RU Cruller!"" single. It was the theme song for the Monster Strike and Love Live! Sunshine!!  collaboration event."
animeRelated	['Love Live! Sunshine!!']
animeCharacters	['Tsushima, Yoshiko', 'Watanabe, You', 'Kunikida, Hanamaru', 'Sakurauchi, Riko', 'Ohara, Mari', 'Kurosawa, Ruby', 'Kurosawa, Dia', 'Matsuura, Kanan', 'Takami, Chika']
animeVoices	['Kobayashi, Aika', 'Saitou, Shuka', 'Takatsuki, Kanako', 'Aida, Rikako', 'Suzuki, Aina', 'Furihata, Ai', 'Komiya, Arisa', 'Suwa, Nanaka', 'Inami, Anju']
animeStaff	[['Ono, Ryuuta', 'Director, Episode Director'], ['Tan, Ayako', 'Editing'], ['Imaizumi, Seiko', 'Art Director'], ['Saitou, Takao', 'Director of Photography']]
