animeTitle	Arigatou Thank You
animeType	Music
animeNumEpisode	1
releaseDate	2004-06-01 00:00:00
endDate	
animeNumMembers	490
animeScore	4.98
animeUsers	231
animeRank	11482
animePopularity	12994
animeDescription	Two aliens traveling through space watch from the porthole, jousting each other for a better view. When they reach the Earth, they are bombarded with messages which cause them to leave the Earth's orbit. This is a comedic Minna no Uta song.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
