animeTitle	Molly Star-Racer
animeType	Music
animeNumEpisode	1
releaseDate	2001-01-01 00:00:00
endDate	
animeNumMembers	1596
animeScore	5.63
animeUsers	947
animeRank	9961
animePopularity	10036
animeDescription	Molly Star-Racer is a pilot music video/production trailer to Oban Star-Racers that contains original and mostly 3D CG animation that is not seen in the series.
animeRelated	['Oban Star-Racers']
animeCharacters	['Wei, Eva', 'Aikka', 'Wei, Don']
animeVoices	[]
animeStaff	[['Yeatman-Eiffel, Savin', 'Director, Creator']]
