animeTitle	No Doubt
animeType	Music
animeNumEpisode	1
releaseDate	2017-05-29 00:00:00
endDate	
animeNumMembers	2439
animeScore	7.25
animeUsers	1205
animeRank	2642
animePopularity	8936
animeDescription	Official music video for Re:vale's song NO DOUBT from the IDOLiSH7 game franchise. Re:vale is a duo boy idol group introduced in the 2nd half of the main story of IDOLiSH7. 
animeRelated	['IDOLiSH7']
animeCharacters	['Sunohara, Momose', 'Orikasa, Yukito']
animeVoices	[]
animeStaff	[['Tagashira, Shinobu', 'Director, Storyboard, Key Animation, Character Design, Animation Director'], ['Tanemura, Arina', 'Original Character Design']]
