animeTitle	Cotton Candy Ei-Ei-Oh!
animeType	Music
animeNumEpisode	1
releaseDate	2020-09-21 00:00:00
endDate	
animeNumMembers	
animeScore	6.21
animeUsers	226
animeRank	
animePopularity	13675
animeDescription	"Music video released on the Love Live! official YouTube channel for the song Cotton Candy Ei-Ei-Oh! that was featured on Ruby Kurosawa's first solo album ""RED GEM WINK."" The video was animated by Onkun Suko."
animeRelated	['Love Live! Sunshine!!']
animeCharacters	['Kurosawa, Ruby']
animeVoices	[]
animeStaff	[]
