animeTitle	Mangaka-san to Assistant-san to The Animation
animeType	TV
animeNumEpisode	12
releaseDate	2014-04-08 00:00:00
endDate	2014-06-24 00:00:00
animeNumMembers	243550
animeScore	7.14
animeUsers	114344
animeRank	3179
animePopularity	728
animeDescription	"Yuuki Aito is a perverted manga artist who appreciates panties, wishing to draw as many as he can. Being surrounded by numerous female assistants, he is constantly asking to use them as references for the manga he draws.

Although Aito has an extremely degenerate mind, he can also be a very kind, generous, and helpful person. The duality of his behavior confuses his assistants—do they love the considerate side of him that he rarely displays, or do they hate him for the perverted thoughts he has most of the time?

[Written by MAL Rewrite]"
animeRelated	['Mangaka-san to Assistant-san to', 'Mangaka-san to Assistant-san to The Animation Specials']
animeCharacters	['Aito, Yuuki', 'Ashisu, Sahoto', 'Kuroi, Sena', 'Otosuna, Mihari', 'Fuwa, Rinna', 'Branya', 'Minano, Matome', 'Ashisu, Sahono', 'Motoki, Tamako', 'Ichika, Konno']
animeVoices	['Matsuoka, Yoshitsugu', 'Hayami, Saori', 'Kugimiya, Rie', 'Noto, Arisa', 'Iguchi, Yuka', 'Tanaka, Manami', 'Itou, Miku']
animeStaff	[['Furuta, Jouji', 'Director'], ['Motoyama, Satoshi', 'Sound Director'], ['Itami, Aki', 'Script, Series Composition'], ['Matsuoka, Yoshitsugu', 'Theme Song Performance']]
