animeTitle	Gotcha!
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	8.38
animeUsers	14888
animeRank	
animePopularity	3859
animeDescription	"Pokémon-themed music video for the song ""Acacia"" by BUMP OF CHICKEN."
animeRelated	['Pokemon']
animeCharacters	['White', 'Whi-Two', 'Bede', 'Lack-Two']
animeVoices	[]
animeStaff	[['Kawamura, Genki', 'Producer, Planning'], ['Hatanaka, Masami', 'Producer, Planning'], ['Matsumoto, Rie', 'Director'], ['BUMP OF CHICKEN', 'Theme Song Arrangement, Theme Song Performance']]
