animeTitle	b'Beast Wars Second Chou Seimeitai Transformers'
animeType	b'TV'
animeNumEpisode	43
releaseDate	
endDate	
animeNumMembers	
animeScore	6.38
animeUsers	817
animeRank	
animePopularity	
animeDescription	b'Beast Wars Second features a new cast of characters set many years in the future, who travel to a post apocalyptic Earth now known as the planet Gaia. The Cybertrons, led by Lio Convoy, are sent to the planet to investigate an unusual change in the planet\xe2\x80\x99s behavior and thus thwart the Destrons, led by Galvatron, who seek to consume the planet\xe2\x80\x99s rich source of energy called Angolmois.\n\n(Source: Karyuudo Fansubs)'
animeRelated	[b'Beast Wars Second Chou Seimeitai Transformers: Lio Convoy Kiki Ippatsu! Movie', b'Chou Seimeitai Transformers Beast Wars Neo']
animeCharacters	[b'Ratchet', b'Lio Convoy', b'Lio Junior', b'Moon', b'Optimus Primal', b'Unicron', b'Skywarp', b'Apache']
animeVoices	[b'\nGouda, Hozumi\nJapanese\n', b'\nKobayashi, Yumiko\nJapanese\n', b'\nTakeuchi, Junko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nTakahashi, Hideo\n\nSound Director\n\n', b'\nOoshiro, Tsutomu\n\nKey Animation\n\n', b'\nHayashi, Yuzo\n\nMusic\n\n', b'\nSekita, Osamu\n\nSeries Production Director\n\n']
