animeTitle	Ochamegami Monogatari: Korokoro Pollon
animeType	TV
animeNumEpisode	46
releaseDate	
endDate	
animeNumMembers	
animeScore	6.93
animeUsers	1150
animeRank	
animePopularity	8851
animeDescription	Anime about the funny lives of the Greek gods up on Mount Olympus. Polon is the naughty daughter of Apollo. With her little cherub friend Eros, she interferes in various comical ways as she tries to show that she is fit to be a goddess. Her activities often misfire, getting her in trouble with some deity or other and causing chaos for gods and humans. Feeling neglected by her godly parent, she often assists him in his woman-chasing in the hopes of getting a new mommy.
animeRelated	['Olympus no Pollon']
animeCharacters	['Pollon', 'Eros', 'Narrator', 'Cha Cha Cha', 'Zeus', 'Apollo']
animeVoices	['Miura, Masako', 'Yamamoto, Keiko', 'Amenomori, Masashi', 'Chiba, Shigeru']
animeStaff	[['Amino, Tetsuro', 'Episode Director'], ['Asada, Yuuji', 'Episode Director, Storyboard'], ['Nagaki, Bonjin', 'Episode Director, Storyboard'], ['Yotsuji, Takao', 'Episode Director, Storyboard, Theme Song Lyrics, Chief Animation Director']]
