animeTitle	Ishida to Asakura
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	5.89
animeUsers	7366
animeRank	
animePopularity	4723
animeDescription	Anime adaptation of the surreal gag manga about two high school boys, Ishida and Asakura.
animeRelated	['Ishida to Asakura', 'Ishida to Asakura Special']
animeCharacters	['Asakura', 'Ishida', 'Yamada, Sister', 'Tenchou', 'Oppai-seijin', 'Yamaguchi', 'Kinoshita, Nanako', 'Yamada', 'Kinoshita', 'Satou']
animeVoices	['Nakamoto, Nobuhisa', 'Morishima, Shuuta', 'Koumyouji, Keiko', 'Shinomiya, Gou', 'Gouda, Hozumi', 'Toribe, Mariko', 'Sakurai, Tooru', 'Shimamoto, Sumi', 'Nakano, Saima']
animeStaff	[['Yamamoto, Kouji', 'Sound Director'], ['Yamashita, Kenichi', 'Script, Series Composition'], ['Satou, Atsushi', 'Recording'], ['Masao', 'Original Creator']]
