animeTitle	Yagami Yuu
animeType	OVA
animeNumEpisode	1
releaseDate	2006-12-21 00:00:00
endDate	
animeNumMembers	
animeScore	6.37
animeUsers	2879
animeRank	
animePopularity	6158
animeDescription	Based on a game by Mink's M no Violet division.
animeRelated	['Yakin Byoutou San']
animeCharacters	['Yagami, Yuu', 'Shouko', 'Yotsuya, Jiro']
animeVoices	['Inokuchi, Yuka']
animeStaff	[['Murakami, Teruaki', 'Director, Storyboard, Key Animation, Character Design, Animation Director'], ['Momoi, Osamu', 'Script'], ['Yatabe, Katsuyoshi', 'Production Coordination'], ['Nozaki, Hiroki', 'Sound Effects']]
