animeTitle	Bari Bari Densetsu (1987)
animeType	Movie
animeNumEpisode	1
releaseDate	1987-08-01 00:00:00
endDate	
animeNumMembers	
animeScore	6.61
animeUsers	619
animeRank	
animePopularity	9597
animeDescription	"The film is about 4 high-schoolers who are bike racers and illegally partake in races at night on public roads.

(Source: AniDB)"
animeRelated	['Baribari Densetsu', 'Bari Bari Densetsu']
animeCharacters	['Hijiri, Hideyoshi', 'Koma, Gun', 'Itou, Ai', 'Okita, Hiro', 'Satoru', 'Hijiri, Tomoyo', 'Ichinose, Miyuki', 'Takanezawa', 'Race caller', 'Ichikawa']
animeVoices	['Nakao, Ryusei', 'Tanaka, Hideyuki', 'Oginome, Youko', 'Futamata, Issei', 'Nakata, Jouji', 'Hiramatsu, Akiko', 'Toda, Keiko', 'Sogabe, Kazuyuki', 'Naya, Rokurou', 'Hori, Katsunosuke']
animeStaff	[['Nunokawa, Yuuji', 'Producer'], ['Kamimura, Osamu', 'Director'], ['Oginome, Youko', 'Theme Song Performance'], ['Shigeno, Shuuichi', 'Original Creator']]
