animeTitle	Sougen no Shoujo Laura
animeType	TV
animeNumEpisode	26
releaseDate	1975-10-07 00:00:00
endDate	1976-03-30 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	12171
animeDescription	This anime is based on the same work as the famous American live-action TV series Little House on the Prairie.
animeRelated	[]
animeCharacters	['Ingalls, Laura', 'Ingalls, Mary']
animeVoices	['Sugiyama, Kazuko', 'Sugaya, Masako']
animeStaff	[['Kanda, Takeyuki', 'Director'], ['Endou, Masaharu', 'Episode Director, Storyboard, Animation Director'], ['Maruyama, Masao', 'Script'], ['Okuda, Seiji', 'Storyboard']]
