animeTitle	Flying Witch Petit Special
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.99
animeUsers	2037
animeRank	
animePopularity	6081
animeDescription	To commemorate the anime Flying Witch, the first volume of the Blu-ray/DVD release included a special episode of Flying Witch Petit.
animeRelated	['Flying Witch', 'Flying Witch Petit']
animeCharacters	['Kowata, Makoto', 'Chito']
animeVoices	[]
animeStaff	[['Ishizuka, Chihiro', 'Original Creator']]
