animeTitle	b'Elf 17'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.52
animeUsers	768
animeRank	
animePopularity	
animeDescription	b'Muscat Tyler is the 108th prince of the Galaxy Empire and is known as an eccentric person. He travels around the universe accompanying a Walking Arsenal, K.K, and Lu of the Light Wing Race, the strongest creature in the universe. Wherever they go, there is trouble.\n\n(Source: ANN)'
animeRelated	[b'Elf 17']
animeCharacters	[b'K.K', b'Ruu', b'Tyler, Muscat']
animeVoices	[b'\nYao, Kazuki\nJapanese\n', b'\nHonda, Chieko\nJapanese\n', b'\nKamiya, Akira\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKatou, Kazuo\n\nProducer\n\n', b'\nMatsuura, Noriyoshi\n\nSound Director\n\n', b'\nSuzuki, Toshimitsu\n\nScript, Planning\n\n', b'\nKasahara, Hiroko\n\nTheme Song Performance\n\n']
