animeTitle	b'Omae Umasou da na'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	8.03
animeUsers	6657
animeRank	
animePopularity	
animeDescription	"b'By a twist of fate, a herbivorous dinosaur finds a lost egg and brings it back to her nest. When the egg hatches, however, a carnivorous dinosaur emerges. Unable to abandon the child, she names him ""Heart"" and raises him in exile alongside her own child. As Heart comes of age, he struggles to eat the same food as his family and runs away in disgrace when he learns that he cannot live properly without meat. \n\nYears later, the now feared predator Heart encounters a situation similar to his past\xe2\x80\x94he spots a dinosaur egg opposite his kind. As it emerges, Heart remarks that the newborn is delicious-looking. The newborn herbivore thinks that Heart is his father and takes delicious-looking, or ""Umasou,"" as his name. Unable to eat a newborn who loves him, Heart reluctantly decides to raise Umasou as his own. As he nurtures a forbidden child like his mother before him, Heart struggles to deal with an unforgiving world and the true natures of predator and prey.\n\n[Written by MAL Rewrite]'"
animeRelated	[b'Miyanishi Tatsuya Gekijou: Omae Umasou da na', b'Annyeong, Tyrano: Yeong-wonhi, Hamkke', b'Anata wo Zutto Aishiteru']
animeCharacters	[b'Heart', b'Umasou', b'Light', b'Baku', b'Pero Pero']
animeVoices	[b'\nYamaguchi, Kappei\nJapanese\n', b'\nKatou, Seishirou\nJapanese\n', b'\nKawashima, Tokuyoshi\nJapanese\n', b'\nBessho, Tetsuya\nJapanese\n', b'\nKawamura, Maria\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nFujimori, Masaya\n\nDirector, Storyboard\n\n', b'\nMima, Masafumi\n\nSound Director\n\n', b'\nNakajima, Toshihiko\n\nSound Director\n\n', b'\nOoba, Hideaki\n\nEpisode Director\n\n']
