animeTitle	Digimon Adventure Movie
animeType	Movie
animeNumEpisode	1
releaseDate	1999-03-06 00:00:00
endDate	
animeNumMembers	
animeScore	7.58
animeUsers	66342
animeRank	
animePopularity	1582
animeDescription	"A brother and sister discover the digital world is more than 1s and 0s when a living creature arrives out of the family computer. The adventures of a group of children start with the appearance of a Digital Monster in the real world.

(Source: ANN) "
animeRelated	['Digimon Adventure']
animeCharacters	['Yagami, Taichi', 'Yagami, Hikari', 'Agumon', 'Ishida, Yamato', 'Takaishi, Takeru', 'Tachikawa, Mimi', 'Izumi, Koushirou', 'Takenouchi, Sora', 'Kido, Jou', 'Yagami, Yuuko']
animeVoices	['Fujita, Toshiko', 'Araki, Kae', 'Sakamoto, Chika', 'Sakakibara, Yoshiko']
animeStaff	[['Seki, Hiromi', 'Producer'], ['Hosoda, Mamoru', 'Director, Storyboard'], ['Yoshida, Reiko', 'Script'], ['Watanabe, Cheru', 'Theme Song Arrangement']]
