animeTitle	b'Ramen Tenshi Pretty Menma'
animeType	b'Special'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	4.56
animeUsers	1516
animeRank	
animePopularity	
animeDescription	"b'The plot revolves around Kaoru Torigara, only son of a ramen shop owner, who is going to renovate his inherited ramen shop. He discovers that his shop has a guardian angel named Pretty Menma. Pretty Menma tells Kaoru that his dead father\'s intention is making him succeed in the ""Food King Wars"", a battle of restaurants around the world that is held every 4 years. Kaoru and Menma must help each other to go through the struggles of the ""Food King Wars"".\n\n(Source: Wikipedia)'"
animeRelated	[b'Ramen Tenshi Pretty Menma', b'Genshiken 2']
animeCharacters	[b'Menma, Pretty', b'Tonko, Cutie', b'Torigara, Kaoru', b'Hopkins, Susanna', b'Burton, Angela', b'Torigara, Mitsuko']
animeVoices	[b'\nHirano, Aya\nJapanese\n', b'\nGotou, Yuuko\nJapanese\n', b'\nAsanuma, Shintaro\nJapanese\n', b'\nKaida, Yuki\nJapanese\n', b'\nHisakawa, Aya\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKio, Shimoku\n\nOriginal Creator\n\n']
