animeTitle	Heisei Matsue Kaidan
animeType	ONA
animeNumEpisode	7
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15588
animeDescription	"A Matsue City collaboration anime with Eagle Talon. Yoshida book-ends the story as modern horror tales, originated within the city, are narrated by another person. The shorts are meant to promote the Patrick Lafcadio Hearn's Ghost Tour offered by the city.

Some episodes feature biographical segments of the Matsue Kankou Taishi Sanri ga Iku! Matsue Ghost Tour group."
animeRelated	['Heisei Matsue Kaidan: Ayashi', 'Matsue Kankou Taishi Sanri ga Iku! Matsue Ghost Tour', 'Yoshida no Matsue Beauty Daisakusen', 'Yoshida no Matsue Beauty Daisakusen Prologue', 'Yoshida no Time Slip Fumai-kou', '3-bu de Wakaru Koizumi Yakumo no Kaidan']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
