animeTitle	Fuuma no Kojirou: Fuuma Hanran-hen
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.39
animeUsers	429
animeRank	
animePopularity	10670
animeDescription	"After the Chaos war, Kojiro and Ryouma return to earth only to find their clan members killing off each other. 
"
animeRelated	['Fuuma no Kojirou', 'Fuuma no Kojirou: Seiken Sensou-hen']
animeCharacters	['Fuuma, Ryouma', 'Fuuma, Kojirou', 'Muma', 'Shimon', 'Raien', 'Fuuma Sousui', 'Shouryuu', 'Ryuuhou', 'Kirikaze']
animeVoices	['Hori, Hideyuki', 'Nanba, Keiichi', 'Morikawa, Toshiyuki', 'Horiuchi, Kenyuu', 'Sugawara, Junichi', 'Tanaka, Hideyuki', 'Nakahara, Shigeru', 'Yara, Yuusaku', 'Tobita, Nobuo']
animeStaff	[['Ueda, Hidehito', 'Director, Storyboard'], ['Watanabe, Jun', 'Sound Director'], ['Kurumada, Masami', 'Original Creator'], ['Araki, Shingo', 'Character Design']]
