animeTitle	b'Mashin Mukashi Banashi Gekijou'
animeType	b'ONA'
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'A web-exclusive animated short series released on Toei Tokusatsu YouTube Official.\n\nThe anime features the deformed versions of Mashin, the vehicular partners of the Kiramager team, reenacting classic folk tales.'
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
