animeTitle	Silk Road Shounen Yuuto
animeType	TV
animeNumEpisode	26
releaseDate	2006-09-16 00:00:00
endDate	2007-03-24 00:00:00
animeNumMembers	531
animeScore	
animeUsers	
animeRank	13401
animePopularity	12779
animeDescription	"When a boy Yuto visits Qinghai in China, he is involved in the battle between time-travelers, and he is sent to the Silk Road in the past. They are looking for a mysterious treasure, the statue of Yuki Daruma Taishi, which is said to make miracles. Seeing historical events and encountering historical persons, such as Yang Guifei and Xuanzang, he will learn many thinks. Whether will he be able to go back to today?

(Source: AnimeNfo)"
animeRelated	['Silk Road Shounen Yuuto: Toki wo Kakeru Shounen Yuuto no Hyouryuu Nikki']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
