animeTitle	Nakanohito Genome [Jikkyouchuu]
animeType	TV
animeNumEpisode	12
releaseDate	2019-07-07 00:00:00
endDate	2019-09-22 00:00:00
animeNumMembers	
animeScore	6.88
animeUsers	40683
animeRank	
animePopularity	1563
animeDescription	"Iride Akatsuki has unlocked hidden content in the game he's playing, 'Nakanohito Genome,' and it turns out that this content is a real-life game!
He soon wakes up to find that he has been kidnapped and taken to a strange place, along with a number of other teammates. Each of them specializes in a certain sort of game, like cultivation games, fighting games, puzzle games, etc.
A llama-headed 'teacher' gathers them after level 1 is cleared to explain how the game will proceed.
Will this group of gamers succeed, and make it back to their real lives?

(Source: MangaHelpers)"
animeRelated	['Nakanohito Genome [Jikkyouchuu]', 'Nakanohito Genome [Jikkyouchuu]: Knots of Memories']
animeCharacters	['Iride, Akatsuki', 'Oshigiri, Zakuro', 'Sarayashiki, Karin', 'Roromori, Yuzu', 'Aikawa, Makino', 'Onigasaki, Kaikoku', 'Kudou, Anya', 'Inaba, Himiko', 'Paca', 'Omejima, Nanami']
animeVoices	['Yamashita, Daiki', 'Uchiyama, Kouki', 'Kitou, Akari', 'Nazuka, Kaori', 'Terashima, Takuma', 'Satou, Takuya', 'Hatanaka, Tasuku', 'Iwami, Manaka', 'Tsuda, Kenjirou', 'Hirakawa, Daisuke']
animeStaff	[['Oonuma, Shin', 'Director'], ['Inoue, Akiko', 'Script'], ['Hatanaka, Tasuku', 'Theme Song Performance'], ['fhána', 'Theme Song Performance']]
