animeTitle	Chobits: Chibits
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.99
animeUsers	25387
animeRank	
animePopularity	2668
animeDescription	"When Hideki Motosuwa leaves his apartment and accidentally forgets his wallet, Chii takes the wallet and follows him, leaving Sumomo and Kotoko alone in the apartment. It doesn’t take long time until Sumomo discovers that Chii forgot her panties, so Sumomo and Kotoko sets out on an adventurous trip to return the panties to Chii.

(Source: ANN)"
animeRelated	['Chobits']
animeCharacters	['Sumomo', 'Kotoko', 'Chii', 'Motosuwa, Hideki']
animeVoices	['Kumai, Motoko', 'Yukana', 'Tanaka, Rie', 'Sugita, Tomokazu']
animeStaff	[['Asaka, Morio', 'Director, Storyboard'], ['Mima, Masafumi', 'Sound Director'], ['CLAMP', 'Original Creator'], ['Shibata, Chikako', 'Art Director']]
