animeTitle	b'Uchi no 3 Shimai'
animeType	b'TV'
animeNumEpisode	102
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b""The daily life of the Motsumoto family. The three sisters, Fuu, Suu, and Chii, follow what happens on a daily basis. Mother and Father have to deal with them sometimes, but they're used to it."""
animeRelated	[]
animeCharacters	[b'Father', b'Motsumoto, Fuu', b'Motsumoto, Chii', b'Mopsi', b'Motsumoto, Suu', b'Mother']
animeVoices	[b'\nTsujitani, Kouji\nJapanese\n', b'\nOotani, Ikue\nJapanese\n', b'\nKawata, Taeko\nJapanese\n', b'\nKanai, Mika\nJapanese\n', b'\nFujimura, Chika\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKudou, Mayu\n\nTheme Song Performance\n\n', b'\nWatanabe, Cheru\n\nTheme Song Arrangement\n\n', b'\nTsubone, Kentarou\n\nEditing\n\n']
