animeTitle	Oosouji
animeType	Music
animeNumEpisode	1
releaseDate	2013-12-27 00:00:00
endDate	
animeNumMembers	
animeScore	5.41
animeUsers	499
animeRank	
animePopularity	11529
animeDescription	"Music video for the song ""Oosouji"" by DECO*27."
animeRelated	[]
animeCharacters	['Hatsune, Miku']
animeVoices	[]
animeStaff	[['Morii, Kenshirou', 'Director, Key Animation'], ['Hatsune, Miku', 'Theme Song Performance'], ['DECO*27', 'Theme Song Lyrics, Theme Song Composition, Theme Song Arrangement']]
