animeTitle	Harukoi Otome
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.54
animeUsers	1925
animeRank	
animePopularity	6562
animeDescription	Based on the eroge visual novel Harukoi Otome ~En de Gokigenyou~ by BaseSon.
animeRelated	[]
animeCharacters	['Hayasaka, Akihito', 'Hayasaka, Umi', 'Fuyurugi, Kisaya', 'Matsubara, Reika', 'Orito, Riru', 'Kusuhara, Ayaka', 'Kiryuu, Sonya', 'Serizawa, Yuika']
animeVoices	['Mizushima, Takahiro', 'Sakakibara, Yui', 'Nabatame, Hitomi', 'Hyo-sei', 'Tomonaga, Akane', 'Kurokawa, Nami', 'Hinata, Yura', 'Taguchi, Hiroko']
animeStaff	[['Nakagawa, Tatsuto', 'Sound Director'], ['Kawabata, Takashi', 'Episode Director'], ['Makino, Yukihiro', 'Episode Director, Storyboard'], ['Rita', 'Theme Song Performance']]
