animeTitle	Interior
animeType	ONA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14932
animeDescription	"Centers around the unprofitable artist Sam, the unprofitable playwright Borman, and their friend Greg. The one thing they all have in common is that they are poor. The three decide to enter a contest to earn money — but since they cannot afford to mail their entries, they decide to take the long trip to the competition site to bring their entries in person.

(Source: ANN)"
animeRelated	['Monster ni Natta Domerica', 'Kaseki Dorobou to Kyouryuuseki', 'Kanai']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
