animeTitle	Bishoujo Senshi Sailor Moon SuperS
animeType	TV
animeNumEpisode	39
releaseDate	1995-03-04 00:00:00
endDate	1996-03-02 00:00:00
animeNumMembers	
animeScore	7.6
animeUsers	51872
animeRank	
animePopularity	1609
animeDescription	SuperS centers heavily on Chibi-usa and the Sailor Team. A new enemy, the Dead Moon Circus, has now appeared. Their motive is to find the Golden Dream Mirror that would be used to rule the world. To do this, the enemy attacks innocent victims for their Dream Mirrors and test their energy. Chibi-usa also has a new ally on her side, Pegasus. This season also sees the Sailor Senshi obtaining new powers. 
animeRelated	['Bishoujo Senshi Sailor Moon', 'Bishoujo Senshi Sailor Moon S', 'Bishoujo Senshi Sailor Moon: Sailor Stars', 'Bishoujo Senshi Sailor Moon SuperS: Sailor 9 Senshi Shuuketsu! Black Dream Hole no Kiseki', 'Bishoujo Senshi Sailor Moon SuperS Gaiden: Ami-chan no Hatsukoi', 'Bishoujo Senshi Sailor Moon SuperS Specials', 'Bishoujo Senshi Sailor Moon Memorial']
animeCharacters	['Tsukino, Usagi', 'Hino, Rei', 'Kino, Makoto', 'Aino, Minako', 'Mizuno, Ami', 'Chiba, Mamoru', 'Chibiusa', 'Helios', 'Queen Nehellenia', 'Zirconia']
animeVoices	['Mitsuishi, Kotono', 'Tomizawa, Michie', 'Shinohara, Emi', 'Fukami, Rica', 'Hisakawa, Aya', 'Furuya, Toru', 'Araki, Kae', 'Matsuno, Taiki', 'Sakakibara, Yoshiko', 'Kyouda, Hisako']
animeStaff	[['Maseba, Yutaka', 'Producer'], ['Ikuhara, Kunihiko', 'Director, Episode Director, Storyboard'], ['Endou, Yuuji', 'Sound Director, Episode Director, Storyboard'], ['Shibata, Hiroki', 'Sound Director, Episode Director, Storyboard']]
