animeTitle	b'Ogami Matsugorou'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b""Based on the same name manga by Itou Minoru, serialized in Kodansha's Weekly Shounen Magazine."""
animeRelated	[b'Ogami Matsugorou']
animeCharacters	[b'Nagasaki, Koume', b'Ogami, Matsugorou']
animeVoices	[b'\nTamagawa, Sakiko\nJapanese\n', b'\nHori, Hideyuki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nOomori, Hidetoshi\n\nDirector, Animation Director, Character Design\n\n', b'\nOoshiro, Tsutomu\n\nKey Animation\n\n', b'\nTakahashi, Youichi\n\nMusic\n\n', b'\nIida, Hiroyoshi\n\nKey Animation\n\n']
