animeTitle	Hacka Doll
animeType	Special
animeNumEpisode	2
releaseDate	2014-08-15 00:00:00
endDate	2014-09-18 00:00:00
animeNumMembers	
animeScore	5.7
animeUsers	1863
animeRank	
animePopularity	5775
animeDescription	"In the year 2xxx, development of information are going so fast, humans being are drowning in the sea information. This leads to a situation where people can not find the necessary information. The only hope to solve this problem is the navigator program, Hacka Doll.

(Source: Anime Bibly)"
animeRelated	['Hacka Doll The Animation', 'Raldessia Chronicles']
animeCharacters	['Hacka Doll No.3', 'Hacka Doll No.2', 'Hacka Doll No.1', 'Kurami']
animeVoices	['Yamashita, Nanami', 'Okuno, Kaya', 'Takagi, Miyu', 'Yashima, Sarara']
animeStaff	[['Geso, Ikuo', 'Director, Episode Director, Storyboard, Key Animation, Animation Director, Digital Paint'], ['Yamashita, Nanami', 'Theme Song Performance'], ['Okuno, Kaya', 'Theme Song Performance'], ['Takagi, Miyu', 'Theme Song Performance']]
