animeTitle	Kyomu Senshi Miroku
animeType	OVA
animeNumEpisode	6
releaseDate	1989-01-10 00:00:00
endDate	1989-11-05 00:00:00
animeNumMembers	916
animeScore	5.94
animeUsers	220
animeRank	8896
animePopularity	11357
animeDescription	"A psychic ninja fantasy suggesting that the assassins did not die out during the Sengoku era but burrowed under Japan, where they fought a new war against the alien occupants of a crashed spaceship that has lain undisturbed for several millennia. 

(Source: The Anime Encyclopedia)"
animeRelated	['Kyomu Senki']
animeCharacters	['Jiraiya', 'Mochizuki, Rokurou', 'Yasha Hime', 'Kirigakure, Saizou', 'Nezu, Jinpachi', 'Hattori, Hanzou', 'Tokugawa, Ieyasu', 'Hangetsuzai']
animeVoices	['Hori, Hideyuki', 'Totani, Kouji', 'Kawamura, Maria', 'Hayami, Show', 'Kosugi, Juurouta', 'Yamadera, Kouichi', 'Ogata, Kenichi', 'Shiozawa, Kaneto']
animeStaff	[['Takeuchi, Yoshio', 'Director'], ['Watanabe, Junichi', 'Episode Director, Storyboard'], ['Ooga, Shunji', 'Episode Director, Storyboard'], ['Takayashiki, Hideo', 'Script']]
