animeTitle	Phantom in the Twilight
animeType	TV
animeNumEpisode	12
releaseDate	2018-07-10 00:00:00
endDate	2018-09-25 00:00:00
animeNumMembers	
animeScore	6.42
animeUsers	11297
animeRank	
animePopularity	2791
animeDescription	"Set in modern day London, the story takes place in a world where ""Shadows"" are born from human fear and anxiety. A young girl arrives to study abroad, only to be caught in a bizarre incident as she enters university. In a city with no acquaintances, the helpless girl wanders into ""Café Forbidden,"" a mysterious café that exclusively opens at midnight. She meets an assortment of handsome men employed at the café, where guardians who protect the boundary between humans and shadow convene.

(Source: MAL News)"
animeRelated	[]
animeCharacters	['Ton, Baileu', ' Bowen, Luke', 'King, Wayne ', 'Garfunkel, Vlad ', 'Tauryu', 'Rijan, Sha ', 'Shinyao, Mu ', 'Helsing, Van ', 'Gregory, George L. ', 'Haysin']
animeVoices	['Hanazawa, Kana', 'Okamoto, Nobuhiko', 'Yamashita, Daiki', 'Sakurai, Takahiro', 'Sugita, Tomokazu', 'Horie, Yui', 'Iwami, Manaka', 'Koyama, Rikiya', 'Nomura, Kenji', 'Suwabe, Junichi']
animeStaff	[['Hirasawa, Nao', 'Producer'], ['Kunihiro, Mori', 'Director'], ['Aketagawa, Jin', 'Sound Director'], ['Nakayama, Naomi', 'Episode Director, Storyboard']]
