animeTitle	b'Pokemon Advanced Generation'
animeType	b'TV'
animeNumEpisode	192
releaseDate	
endDate	
animeNumMembers	
animeScore	7.09
animeUsers	97497
animeRank	
animePopularity	
animeDescription	"b""After participating in the Johto League, Satoshi decides to begin anew in yet another journey; this time by himself and Pikachu, in the land of Houen. Though he isn't alone for long, as 10-year-old Haruka (whom dislikes Pokemon, but just wants to come along to see the world) travels with him after Pikachu destroys her bicycle. Satoshi also meets up with his old companion, Takeshi, and Haruka's younger brother, Masato. Together, they travel along in Houen, battling Gym Leaders, entering Contests, and other events on the way to the Houen League.\n\n(Source: ANN, edited)"""
animeRelated	[b'Pokemon', b'Pokemon Movie 06: Nanayo no Negaiboshi Jirachi', b'Pokemon Movie 07: Rekkuu no Houmonsha Deoxys', b'Pokemon Movie 08: Mew to Hadou no Yuusha Lucario', b'Pokemon: Senritsu no Mirage Pokemon', b'Pokemon Movie 09: Pokemon Ranger to Umi no Ouji Manaphy', b'Pokemon: Pikachu no Wanpaku Island', b'Pokemon: Odoru Pokemon Himitsu Kichi', b'Pokemon: Pikachu no Obake Carnival', b'Pokemon: Pikachu no Natsumatsuri', b'Pokemon 3D Adventure 2: Pikachu no Kaitei Daibouken', b'Pokemon 3D Adventure: Mew wo Sagase!', b'Pokemon Diamond & Pearl', b'Pokemon Omega Ruby & Alpha Sapphire: Mega Special Animation', b'Pokemon Generations', b'Pokemon Diamond & Pearl: Clip Show']
animeCharacters	[b'Pikachu', b'Satoshi', b'Takeshi', b'Haruka', b'Masato', b'Kojirou', b'Kasumi', b'Musashi', b'Nyarth', b'Ookido, Shigeru']
animeVoices	[b'\nOotani, Ikue\nJapanese\n', b'\nMatsumoto, Rica\nJapanese\n', b'\nUeda, Yuuji\nJapanese\n', b'\nKawana, Midori\nJapanese\n', b'\nYamada, Fushigi\nJapanese\n', b'\nMiki, Shinichiro\nJapanese\n', b'\nIizuka, Mayumi\nJapanese\n', b'\nHayashibara, Megumi\nJapanese\n', b'\nInuyama, Inuko\nJapanese\n', b'\nKobayashi, Yuko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYuyama, Kunihiko\n\nDirector\n\n', b'\nHidaka, Masamitsu\n\nDirector\n\n', b'\nAsada, Yuuji\n\nDirector\n\n', b'\nMima, Masafumi\n\nSound Director\n\n']
