animeTitle	Kaitei Daisensou: Ai no 20,000 Miles
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.25
animeUsers	147
animeRank	
animePopularity	12946
animeDescription	"All the nations of Earth are crumbling before the might of Darius, ruler of the Gabia Empire. Meanwhile, childhood friends Ben and Ricky are sailing on the oceans is search of the lost city of Atlantis. When their ship is sunk they are saved by Captain Nemo in his submarine Nautilus.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Ben', 'Captain Nemo', 'Sofia', 'Rick', 'Emperor Darius', 'Dr Johnson', 'Jim', 'Dr Smith']
animeVoices	['Ibu, Masatou', 'Kurosawa, Ryo', 'Inoue, Junichi', 'Katou, Seizou', 'Nishikawa, Ikuo', 'Nishio, Toku', 'Miyauchi, Kouhei']
animeStaff	[['Kuri, Ippei', 'Director'], ['Mashimo, Kouichi', 'Episode Director'], ['Ookawara, Kunio', 'Mechanical Design'], ['Verne, Jules', 'Original Creator']]
