animeTitle	Ganbare Douki-chan
animeType	ONA
animeNumEpisode	12
releaseDate	2021-09-20 00:00:00
endDate	
animeNumMembers	44528
animeScore	6.77
animeUsers	7368
animeRank	4759
animePopularity	2654
animeDescription	"""In a shared room with my co-worker at the hotel?! Although I was warned not to do anything stupid, my eyes would inadvertently turn to her legs wrapped in pantyhose...""

Unbeknownst to him however, Douki-chan secretly has feelings for him. As Douki-chan struggles to confess her feelings, her rivals, both the kouhai and senpai, continue to vie for his affection.

Ganbare Douki-chan realistically depicts the texture of clothes, cute expressions, and exciting situations with plenty of temptation, featuring a great deal of satisfying highlights.

(Source: MAL News)"
animeRelated	['Ganbare Douki-chan Special']
animeCharacters	['Douki-chan', 'Senpai-san', 'Kouhai-chan', 'Douki-kun']
animeVoices	['Hieda, Nene', 'Seto, Asami', 'Uesaka, Sumire', 'Enoki, Junya']
animeStaff	[['Koga, Kazuomi', 'Director'], ['Naya, Ryousuke', 'Sound Director'], ['Yom', 'Original Character Design, Original Creator'], ['Nakamura, Yoshiko', 'Series Composition']]
