animeTitle	b'Juubee Ninpuuchou: Ryuuhougyoku-hen'
animeType	b'TV'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	6.68
animeUsers	15449
animeRank	
animePopularity	
animeDescription	"b""Fourteen years after defeating the immortal warrior Himuro Genma and thwarting the Shogun of the Dark's evil plans, Kibagami Jubei continues to roam all over Japan as a masterless swordsman. During his journey, he meets Shigure, a priestess who has never seen the world outside her village. But when a group of demons destroys the village and kills everyone, Jubei becomes a prime target after acquiring the Dragon Jewel\xe2\x80\x94a stone with an unknown origin. Meanwhile, Shigure\xe2\x80\x94along with the monk Dakuan and a young thief named Tsubute\xe2\x80\x94travels to the village of Yagyu. And with two demon clans now hunting down Shigure, Dakuan must once again acquire the services of Jubei to protect the Priestess of Light.\n\n(Source: ANN)"""
animeRelated	[b'Juubee Ninpuuchou']
animeCharacters	[b'Kibagami, Jubei', b'Shigure', b'Dakuan', b'Aizen', b'Utsushie', b'Renya, Yagyu', b'Yamidoro, Anden', b'Azame', b'Genza', b'Nenmu']
animeVoices	[b'\nKoyama, Rikiya\nJapanese\n', b'\nKuwashima, Houko\nJapanese\n', b'\nFujimoto, Yuzuru\nJapanese\n', b'\nSeki, Toshihiko\nJapanese\n', b'\nTakano, Urara\nJapanese\n', b'\nMorikawa, Toshiyuki\nJapanese\n', b'\nKatou, Seizou\nJapanese\n', b'\nHisakawa, Aya\nJapanese\n', b'\nOoki, Tamio\nJapanese\n', b'\nCho\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSatou, Tatsuo\n\nDirector\n\n', b'\nItagaki, Shin\n\nEpisode Director, Storyboard, Key Animation\n\n', b'\nMasuhara, Mitsuyuki\n\nEpisode Director\n\n', b'\nHara, Hiroshi\n\nEpisode Director, Storyboard\n\n']
