animeTitle	Kyoufu Shinbun
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	5.72
animeUsers	117
animeRank	
animePopularity	12421
animeDescription	"For reasons unknown to him, Rei receives the Kyoufu Shinbun every morning, a newspaper which foresees deaths and catastrophes...

Based on Tsunoda Jirou's classic horror manga ""Kyoufu Shinbun"", serialized in Weekly Shounen Champion.

(Source: AniDB)"
animeRelated	['Kyoufu Shinbun', 'Kyoufu Shinbun (2014)']
animeCharacters	['Kigata, Rei', 'Nakagami, Midoriko']
animeVoices	['Furuya, Toru', 'Hisakawa, Aya']
animeStaff	[['Annou, Takashi', 'Director'], ['Matsuura, Noriyoshi', 'Sound Director'], ['Sakurai, Masaaki', 'Script'], ['Tsunoda, Jirou', 'Original Creator']]
