animeTitle	b'Days'
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.69
animeUsers	2968
animeRank	
animePopularity	
animeDescription	b'For longer than she can remember, the monster Azami has been alone. Time passes her by, and she merely watches. Her loneliness finally ends when she gains a family. Yet human lives are fleeting, and Azami may have no choice but to face an unbearable tomorrow where she is alone once again.\n\n[Written by MAL Rewrite]\n'
animeRelated	[b'Mekakucity Actors', b'Daze']
animeCharacters	[b'Azami', b'Kozakura, Shion', b'Tsukihiko', b'Enomoto, Takane', b'Tateyama, Ayano']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nJin\n\nTheme Song Composition, Theme Song Lyrics\n\n', b'\nSidu\n\nAnimation Director\n\n']
