animeTitle	b'Hakushaku to Yousei'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	7.24
animeUsers	49190
animeRank	
animePopularity	
animeDescription	"b""In the nineteenth century, we find Lydia Carlton living in Scotland, making a living as a fairy doctor. She is one of those rare humans who can see and communicate with fairies. But no one believes her. However, Edgar is in need of someone with a vast knowledge of fairy lore, and Lydia is just that person. After rescuing her, he becomes her employer, but there are many secrets and emotions that seem to follow Edgar, who claims to be the Blue Knight's Earl."""
animeRelated	[b'Hakushaku to Yousei', b'Hakushaku to Yousei Specials']
animeCharacters	[b'J. C. Ashenbert, Edgar', b'Raven', b'Carlton, Lydia', b'Nico', b'Kelpie', b'Ulysses', b'Ferman, Paul', b'Jimmy', b'Marigold', b'Ermine']
animeVoices	[b'\nMidorikawa, Hikaru\nJapanese\n', b'\nSugita, Tomokazu\nJapanese\n', b'\nMizuki, Nana\nJapanese\n', b'\nYuuki, Hiro\nJapanese\n', b'\nKoyasu, Takehito\nJapanese\n', b'\nMiyano, Mamoru\nJapanese\n', b'\nKamiya, Hiroshi\nJapanese\n', b'\nSawashiro, Miyuki\nJapanese\n', b'\nKugimiya, Rie\nJapanese\n', b'\nOhara, Sayaka\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSoutome, Kouichirou\n\nDirector, Episode Director, Storyboard, Layout\n\n', b'\nTanaka, Kazuya\n\nSound Director\n\n', b'\nIshiodori, Hiroshi\n\nStoryboard\n\n', b'\nMidorikawa, Hikaru\n\nTheme Song Performance\n\n']
