animeTitle	Hitozuma♪Kasumi-san
animeType	OVA
animeNumEpisode	2
releaseDate	2005-12-09 00:00:00
endDate	2006-04-14 00:00:00
animeNumMembers	
animeScore	6.76
animeUsers	3211
animeRank	
animePopularity	5822
animeDescription	"A university student Matsubara Ryoji was living alone. But he had uncle near the aparment, and he often went to his house. Because the uncle was busy and often absent, for his wife and daughter, Ryoji was reliable person. On the other hand, Ryoji secretly fell in love with the aunt, Kasumi. 

One day, the neighbor houses were robbed while they were absent. The uncle proposed Ryoji would leave the aparment and live together. 

(Source: AnimeNfo) "
animeRelated	['Hitozuma♪Kasumi-san: Oyako to Kyoudou Seikatsu']
animeCharacters	['Matsubara, Kasumi', 'Matsubara, Ryouji', 'Ukishima, Harumi']
animeVoices	['Asano, Youji', 'Suzuki, Keiko']
animeStaff	[['Oogomori, Yukihito', 'Director, Storyboard, Key Animation, Animation Director'], ['TinkerBell', 'Original Creator'], ['Sumeragi, Kohaku', 'Original Character Design'], ['Nagao, Hitoshi', 'Art Director']]
