animeTitle	Gegege no Kitarou (1968)
animeType	TV
animeNumEpisode	65
releaseDate	
endDate	
animeNumMembers	
animeScore	6.8
animeUsers	596
animeRank	
animePopularity	7867
animeDescription	Kitarou, a ghost, spends his afterlife helping humans in need of his skills. He thwarts the plans of evil spirits who live to torment humanity.
animeRelated	['GeGeGe no Kitarou', 'Gegege no Kitarou (2007)', 'Gegege no Kitarou (1971)', 'Gegege no Kitarou (1985)', 'Gegege no Kitarou (1996)', 'Gegege no Kitarou: Obake Nighter', 'Hakaba Kitarou', 'Gegege no Kitarou (2018)']
animeCharacters	['Kitarou', 'Medama Oyaji', 'Neko Musume', 'Nezumi Otoko', 'Backbeard', 'Ittan Momen', 'Wanyuudou', 'Konaki Jijii', 'Miage-Nyuudou', 'Babaa, Sunakake']
animeVoices	['Nozawa, Masako', 'Tanonaka, Isamu', 'Otsuka, Chikao', 'Tomita, Kousei', 'Kogushi, Youko']
animeStaff	[['Takahata, Isao', 'Episode Director'], ['Kuroda, Yoshio', 'Episode Director'], ['Nitta, Yoshikata', 'Episode Director'], ['Tsuji, Masaki', 'Script']]
